x, y
400, 0.2467532592994758
408.69565217391306, 0.19967531478310535
416.9081978175951, 0.15422072203892678
425.6038499915081, 0.11038955537922063
435.2656931116961, 0.08441562977502852
443.47826086956525, 0.07629864797722703
455.07246376811594, 0.0909090368637958
466.6666666666667, 0.11688311109254955
478.7439539812613, 0.15584414812339933
493.23672971863675, 0.21753248152633858
505.3139949190444, 0.28084416670146956
514.4927536231884, 0.33928572224774434
523.6715123273325, 0.4155844445372522
533.3333333333334, 0.49837664822780814
539.6135413128397, 0.5649350369473228
548.3091934867527, 0.6542207963512076
557.9710144927536, 0.7370130000417635
566.1835601364357, 0.8214285555045114
572.946874646173, 0.8961038888656869
581.6425268200861, 0.9594155740408179
585.5072463768116, 0.9886363518139555
591.787454356318, 1
600.966168832088, 0.9886363518139555
610.1449275362319, 0.9561688333402939
627.053125353827, 0.9204545370099682
634.2995021654212, 0.8798701110507862
640.5797101449275, 0.8198052037323195
645.893705063972, 0.7564935185571885
650.2415311509285, 0.6850649258965368
653.6231884057971, 0.6201298889492138
657.0048456606658, 0.537337685258658
662.3188405797102, 0.43506496305267706
668.1159420289855, 0.34740262973326497
674.3961500084919, 0.2564935185571884
681.1594202898551, 0.17694809272329676
690.3381789939991, 0.09740259257712444
700.9661688320879, 0.050324722373034786
716.4251355157382, 0.0211039445998974
731.4009514407836, 0.008116833173239711
747.3429804262909, 0.006493555713328636
771.980661585711, 0.0016234260844724287
799.5168934697691, 0
